epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,20403.7,1.11724,0.65202,0.96751,0.97072,0.89889,0.94418,0.63305,1.16092,0.59336,0.94765,0.005842,0.005842,0.005842
107,20595.9,1.11009,0.64727,0.96842,0.96284,0.90042,0.94626,0.63436,1.16142,0.59132,0.94801,0.0058024,0.0058024,0.0058024
108,20788.9,1.12447,0.64344,0.96941,0.97363,0.88743,0.94609,0.63613,1.14962,0.58704,0.9442,0.0057628,0.0057628,0.0057628
109,20981.6,1.11097,0.64396,0.96501,0.97176,0.89265,0.94751,0.63495,1.15176,0.58226,0.94609,0.0057232,0.0057232,0.0057232
110,21174.5,1.10433,0.63379,0.96228,0.96974,0.89254,0.94552,0.63647,1.15657,0.58652,0.94657,0.0056836,0.0056836,0.0056836
111,21367.7,1.11408,0.63666,0.96607,0.97379,0.89308,0.94502,0.63838,1.15271,0.57886,0.94628,0.005644,0.005644,0.005644
112,21560.4,1.09989,0.63714,0.95748,0.9726,0.89375,0.94508,0.63552,1.15333,0.58042,0.94882,0.0056044,0.0056044,0.0056044
113,21752.6,1.09901,0.63279,0.96242,0.97372,0.89279,0.94746,0.63713,1.14885,0.58029,0.94566,0.0055648,0.0055648,0.0055648
114,21944.9,1.11253,0.6317,0.96213,0.97035,0.89164,0.94515,0.63541,1.15223,0.58242,0.94656,0.0055252,0.0055252,0.0055252
115,22137.8,1.11499,0.63972,0.9619,0.96306,0.90004,0.94682,0.6357,1.15694,0.58249,0.9458,0.0054856,0.0054856,0.0054856
116,22329.9,1.10534,0.62971,0.96493,0.96707,0.89651,0.9438,0.63659,1.15402,0.58321,0.94317,0.005446,0.005446,0.005446
117,22521.8,1.09381,0.62749,0.95816,0.96782,0.89317,0.94246,0.63453,1.15226,0.5848,0.94343,0.0054064,0.0054064,0.0054064
118,22713.5,1.09111,0.63027,0.95606,0.96712,0.89813,0.9458,0.63689,1.1479,0.58335,0.94361,0.0053668,0.0053668,0.0053668
119,22905.8,1.08739,0.61626,0.95276,0.97021,0.89458,0.94591,0.6384,1.14055,0.57827,0.9423,0.0053272,0.0053272,0.0053272
120,23098.8,1.08821,0.62117,0.9619,0.96832,0.89809,0.94609,0.64029,1.13986,0.5768,0.94136,0.0052876,0.0052876,0.0052876
121,23291.5,1.07646,0.61144,0.95674,0.96934,0.89699,0.9455,0.6441,1.13474,0.57521,0.93983,0.005248,0.005248,0.005248
122,23484.2,1.08616,0.61305,0.95186,0.96592,0.89753,0.94457,0.64423,1.13265,0.57585,0.94115,0.0052084,0.0052084,0.0052084
123,23677.4,1.09565,0.62777,0.95811,0.96291,0.89966,0.94504,0.64358,1.13638,0.57186,0.94218,0.0051688,0.0051688,0.0051688
124,23869.7,1.09294,0.61781,0.95719,0.96593,0.90118,0.94494,0.64246,1.14375,0.57428,0.94307,0.0051292,0.0051292,0.0051292
125,24062,1.06868,0.6169,0.94958,0.96447,0.90092,0.94441,0.64026,1.14652,0.57449,0.94318,0.0050896,0.0050896,0.0050896
126,24254.8,1.07558,0.61598,0.9546,0.96649,0.90242,0.94678,0.64179,1.14079,0.57251,0.94075,0.00505,0.00505,0.00505
127,24447,1.08083,0.61592,0.9575,0.96634,0.90004,0.94831,0.64301,1.13289,0.56728,0.93935,0.0050104,0.0050104,0.0050104
128,24639.4,1.09883,0.62202,0.95706,0.96649,0.90225,0.94948,0.64355,1.12991,0.56671,0.93936,0.0049708,0.0049708,0.0049708
129,24831.7,1.0718,0.60248,0.94752,0.9685,0.90315,0.94928,0.64266,1.13006,0.56529,0.9394,0.0049312,0.0049312,0.0049312
130,25024.3,1.06364,0.59895,0.94333,0.97269,0.89684,0.94897,0.64458,1.12645,0.56301,0.93794,0.0048916,0.0048916,0.0048916
131,25216.7,1.05974,0.59891,0.94128,0.97356,0.89889,0.94965,0.64531,1.1285,0.56132,0.93789,0.004852,0.004852,0.004852
132,25410.1,1.06395,0.60437,0.94616,0.97004,0.90193,0.9486,0.64194,1.13294,0.56068,0.93933,0.0048124,0.0048124,0.0048124
133,25602.5,1.05022,0.58687,0.94371,0.96981,0.89622,0.94742,0.64318,1.13189,0.55914,0.93965,0.0047728,0.0047728,0.0047728
134,25795.1,1.05919,0.60208,0.94145,0.96803,0.90042,0.94868,0.64478,1.13187,0.56014,0.93921,0.0047332,0.0047332,0.0047332
135,25987.7,1.05689,0.59756,0.94568,0.97074,0.89928,0.95007,0.6443,1.13226,0.5579,0.93955,0.0046936,0.0046936,0.0046936
136,26180.5,1.05521,0.58967,0.94478,0.96643,0.9008,0.94926,0.6449,1.12965,0.55698,0.93824,0.004654,0.004654,0.004654
137,26372.9,1.04925,0.58563,0.93904,0.96963,0.90127,0.94981,0.64625,1.12466,0.55375,0.9373,0.0046144,0.0046144,0.0046144
138,26565.9,1.04373,0.586,0.93413,0.97117,0.89953,0.94809,0.64632,1.12302,0.55281,0.93674,0.0045748,0.0045748,0.0045748
139,26757.8,1.03483,0.57347,0.94005,0.97546,0.89889,0.9479,0.6448,1.12339,0.55224,0.93749,0.0045352,0.0045352,0.0045352
140,26950.1,1.03801,0.5778,0.9432,0.97549,0.89928,0.94825,0.64452,1.12405,0.55265,0.93769,0.0044956,0.0044956,0.0044956
141,27142.3,1.04695,0.58258,0.94227,0.97454,0.89889,0.94857,0.6453,1.12297,0.55373,0.93715,0.004456,0.004456,0.004456
142,27335.1,1.03642,0.57971,0.93707,0.97099,0.89966,0.9475,0.64502,1.12593,0.55337,0.93765,0.0044164,0.0044164,0.0044164
143,27527.5,1.04142,0.57876,0.93765,0.97402,0.901,0.94847,0.64616,1.12386,0.55347,0.93685,0.0043768,0.0043768,0.0043768
144,27719.7,1.03095,0.57454,0.93575,0.97138,0.90347,0.94935,0.64717,1.12366,0.55401,0.9365,0.0043372,0.0043372,0.0043372
145,27912.9,1.03863,0.57695,0.93637,0.97365,0.9021,0.94988,0.64696,1.12239,0.55281,0.93571,0.0042976,0.0042976,0.0042976
146,28105.6,1.00891,0.56338,0.9254,0.97563,0.90103,0.94845,0.64793,1.12213,0.551,0.93576,0.004258,0.004258,0.004258
147,28298.5,1.01475,0.55948,0.93258,0.9769,0.90373,0.95086,0.6483,1.12237,0.55154,0.93568,0.0042184,0.0042184,0.0042184
148,28491.8,1.02729,0.57288,0.92844,0.97425,0.90424,0.94977,0.64786,1.12041,0.54946,0.93514,0.0041788,0.0041788,0.0041788
149,28684.4,1.01314,0.5638,0.92822,0.97529,0.90365,0.9501,0.64784,1.12153,0.5477,0.93581,0.0041392,0.0041392,0.0041392
150,28876.7,1.01368,0.5568,0.92602,0.97543,0.90042,0.94895,0.64659,1.12097,0.54638,0.936,0.0040996,0.0040996,0.0040996
151,29069.3,1.01528,0.55681,0.93111,0.97645,0.90178,0.94973,0.64674,1.12045,0.54576,0.93652,0.00406,0.00406,0.00406
152,29261.8,1.00835,0.56362,0.93261,0.97422,0.90385,0.94927,0.64608,1.11937,0.54417,0.93604,0.0040204,0.0040204,0.0040204
153,29453.2,1.02372,0.56842,0.92909,0.97295,0.90767,0.94889,0.6462,1.11809,0.54531,0.93628,0.0039808,0.0039808,0.0039808
154,29645.5,1.01941,0.55776,0.92646,0.97679,0.90424,0.9484,0.64727,1.11833,0.54394,0.93646,0.0039412,0.0039412,0.0039412
155,29838.1,0.99424,0.5523,0.92323,0.97651,0.904,0.94946,0.64706,1.11853,0.54462,0.9366,0.0039016,0.0039016,0.0039016
156,30030.7,1.00433,0.5607,0.92288,0.97792,0.90347,0.94887,0.64672,1.11859,0.54428,0.93705,0.003862,0.003862,0.003862
157,30223.2,1.01938,0.56332,0.92905,0.97849,0.90263,0.94858,0.64665,1.11695,0.54565,0.93659,0.0038224,0.0038224,0.0038224
158,30415.6,1.00362,0.55384,0.92199,0.97734,0.90513,0.94977,0.6474,1.11532,0.54366,0.93628,0.0037828,0.0037828,0.0037828
159,30607.1,1.0083,0.55759,0.92514,0.97691,0.9041,0.95026,0.64735,1.11594,0.54319,0.93685,0.0037432,0.0037432,0.0037432
160,30799.9,0.99306,0.54847,0.91835,0.97614,0.90513,0.95093,0.64817,1.11742,0.54254,0.93642,0.0037036,0.0037036,0.0037036
161,30992.6,1.00166,0.55071,0.92662,0.97528,0.9033,0.9495,0.64907,1.11778,0.5431,0.93596,0.003664,0.003664,0.003664
162,31185.7,1.00335,0.55074,0.9186,0.97441,0.90538,0.95003,0.64921,1.11858,0.54271,0.93607,0.0036244,0.0036244,0.0036244
163,31378.5,0.9885,0.54655,0.91778,0.97407,0.9028,0.94986,0.64874,1.11936,0.54095,0.93605,0.0035848,0.0035848,0.0035848
164,31571.1,0.98583,0.53831,0.9183,0.97805,0.90092,0.9513,0.64851,1.11715,0.53949,0.9358,0.0035452,0.0035452,0.0035452
165,31763.2,0.99018,0.54112,0.9189,0.97729,0.90306,0.95189,0.64876,1.11619,0.53757,0.93558,0.0035056,0.0035056,0.0035056
166,31956.1,0.98655,0.53976,0.91393,0.97389,0.90538,0.95157,0.64759,1.11682,0.53632,0.93555,0.003466,0.003466,0.003466
167,32148.5,0.98355,0.54247,0.91663,0.97577,0.905,0.95219,0.64751,1.11737,0.53671,0.9361,0.0034264,0.0034264,0.0034264
168,32340.7,0.97674,0.53222,0.91712,0.97358,0.90614,0.95126,0.64798,1.11757,0.53653,0.93615,0.0033868,0.0033868,0.0033868
169,32532.7,0.98359,0.53622,0.91411,0.97425,0.90691,0.95207,0.64936,1.11694,0.53537,0.93646,0.0033472,0.0033472,0.0033472
170,32725.7,0.97834,0.53451,0.91447,0.97158,0.90652,0.95237,0.64812,1.11592,0.53495,0.93647,0.0033076,0.0033076,0.0033076
171,32920.5,0.97237,0.52823,0.91424,0.97263,0.90652,0.95272,0.64867,1.11544,0.5335,0.9364,0.003268,0.003268,0.003268
172,33109.8,0.96521,0.52333,0.90822,0.97238,0.90691,0.95248,0.64949,1.11553,0.53337,0.9363,0.0032284,0.0032284,0.0032284
173,33305,0.97171,0.52673,0.90855,0.97097,0.90843,0.95241,0.64979,1.11502,0.53321,0.93615,0.0031888,0.0031888,0.0031888
174,33498.3,0.96637,0.53022,0.91645,0.97038,0.90767,0.95255,0.64962,1.11439,0.53318,0.93566,0.0031492,0.0031492,0.0031492
175,33690.6,0.97346,0.53133,0.91617,0.9704,0.90767,0.95234,0.64956,1.11319,0.5322,0.93588,0.0031096,0.0031096,0.0031096
176,33883.1,0.9643,0.52441,0.91107,0.97062,0.90755,0.9522,0.65021,1.11215,0.5318,0.93538,0.00307,0.00307,0.00307
