epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,20997.5,0.7802,0.48794,0.96591,0.98706,0.96136,0.97699,0.80642,0.91199,0.45769,0.94835,0.003334,0.003334,0.003334
103,21265.3,0.7821,0.48533,0.96237,0.98644,0.95908,0.97527,0.80574,0.90922,0.45314,0.94767,0.003268,0.003268,0.003268
104,21466.8,0.77194,0.48369,0.9617,0.98507,0.96354,0.97672,0.81102,0.90537,0.44938,0.94584,0.003202,0.003202,0.003202
105,21687.3,0.78078,0.49047,0.95781,0.98976,0.95805,0.97653,0.81174,0.90595,0.44882,0.94625,0.003136,0.003136,0.003136
106,21885.2,0.7718,0.47411,0.96563,0.98755,0.96014,0.97669,0.81305,0.90541,0.44871,0.94622,0.00307,0.00307,0.00307
107,22094.8,0.77659,0.47534,0.95492,0.98882,0.95838,0.9768,0.81409,0.90437,0.44958,0.9458,0.003004,0.003004,0.003004
108,22305.6,0.76657,0.47274,0.95967,0.98216,0.96362,0.9761,0.8121,0.90771,0.4512,0.94796,0.002938,0.002938,0.002938
109,22535.9,0.76236,0.46676,0.95256,0.98323,0.96357,0.97487,0.81229,0.90113,0.44776,0.94275,0.002872,0.002872,0.002872
110,22745,0.77169,0.47103,0.95313,0.98818,0.95954,0.97704,0.81293,0.90328,0.45034,0.9424,0.002806,0.002806,0.002806
111,22942.7,0.76058,0.46914,0.95789,0.98634,0.96177,0.97774,0.8139,0.90551,0.44713,0.94189,0.00274,0.00274,0.00274
112,23139.7,0.75136,0.46543,0.95253,0.98724,0.96177,0.97787,0.8133,0.9071,0.44549,0.94527,0.002674,0.002674,0.002674
113,23312.3,0.75849,0.4681,0.95404,0.98746,0.96253,0.97698,0.81215,0.9075,0.44624,0.94702,0.002608,0.002608,0.002608
114,23498.6,0.7609,0.46862,0.95215,0.98916,0.96065,0.97668,0.81327,0.90919,0.44188,0.94783,0.002542,0.002542,0.002542
115,23674.6,0.75216,0.46206,0.95358,0.99013,0.95956,0.97757,0.81279,0.90822,0.44249,0.94744,0.002476,0.002476,0.002476
116,23859.7,0.74906,0.46005,0.94835,0.98883,0.96172,0.97751,0.81278,0.90948,0.43811,0.95061,0.00241,0.00241,0.00241
117,24027.2,0.74397,0.45801,0.9501,0.98909,0.9595,0.97707,0.81438,0.90742,0.43748,0.95017,0.002344,0.002344,0.002344
118,24215.3,0.73186,0.44791,0.94536,0.98824,0.96152,0.97765,0.81458,0.90749,0.43521,0.95277,0.002278,0.002278,0.002278
